ID,Employee,Gender,Birth_Date,Hire_Date,Termination_Date,Termination_Reason,Education,Position,Department_ID
1,Harley Matthews,Female,17/08/1989,02/10/2011,,,Higher Certificate,Administrator,1
2,Aliyah Thomas,Female,27/03/1988,22/03/2012,01/05/2015,Unfair Dismissal,Higher Certificate,Lawyer,2
3,Madeleine Bradley,Female,18/04/1981,24/08/2012,19/06/2016,Resignation,Bachelor's Incompleted,Administrative Analyst,1
4,Gabrielle Gardner,Female,31/10/2002,12/11/2012,,,Bachelor's Completed,Accounting Analyst,1
5,Molly Owen,Female,22/10/1979,18/09/2013,,,Bachelor's Completed,Database Analyst,3
6,Lilah Gill,Female,05/10/1980,16/01/2014,17/10/2017,Resignation,Bachelor's Completed,Business Intelligence Analyst,3
7,Winnie May,Female,16/11/1992,26/04/2014,07/10/2017,Unfair Dismissal,Bachelor's Completed,Communication Analyst,4
8,Blossom Howard,Female,20/09/1996,08/05/2014,,,Major's,Personnel Analyst,1
9,Anayah Armstrong,Female,01/03/1975,15/06/2014,,,Major's,Marketing Analyst,4
10,Isabel Wood,Female,13/10/1974,30/11/2014,,,Major's,Business Analyst,5
11,Nia Moore,Female,04/05/1979,17/12/2014,,,Postgraduate,Market Research Analyst,6
12,Olivia-Rose Houghton,Female,30/08/1986,21/01/2015,02/10/2015,Dismissal,Postgraduate,Salesperson,6
13,Aurelia Allen,Female,26/06/1969,05/02/2015,,,Master's,Technical Support Analyst,7
14,Alexandra Fraser,Female,07/04/1984,01/05/2015,,,Doctoral,Test Analyst,5
15,Ruby Wilson,Female,28/10/1992,01/05/2015,,,Higher Certificate,Usability Analyst,5
16,Betty Lewis,Female,19/06/1990,21/05/2015,,,Higher Certificate,Financial Analyst,1
17,Aya Perry,Female,18/03/1990,06/01/2016,04/07/2016,Unfair Dismissal,Bachelor's Incompleted,Pogrammer Analyst,5
18,Karina Mcdonald,Female,01/09/1992,21/01/2016,19/06/2016,Mutual Agreement,Bachelor's Completed,Administrative Assistant,1
19,Ela Moss,Female,29/06/1986,02/02/2016,,,Bachelor's Completed,Salesperson,6
20,Emmie Hall,Female,04/06/1994,26/03/2016,,,Bachelor's Completed,Developer,5
21,Harriet Knight,Female,05/06/1990,04/07/2016,,,Bachelor's Completed,Developer,5
22,Flora Parry,Female,16/11/1983,24/07/2016,03/08/2018,Unfair Dismissal,Major's,Database Analyst,3
23,Anayah Lee,Female,29/01/1979,27/08/2017,,,Major's,Business Intelligence Analyst,3
24,Polly George,Female,24/06/1977,17/10/2017,,,Major's,Developer,5
25,Madeline Powell,Female,18/11/1975,25/01/2018,,,Postgraduate,Developer,5
26,Hallie Lawson,Female,24/03/1991,30/09/2018,,,Postgraduate,Developer,5
27,Melody Francis,Female,15/04/1966,01/12/2018,30/01/2019,Resignation,Master's,Developer,5
28,Victoria Reid,Female,20/10/1996,01/02/2019,,,Doctoral,Developer,5
29,Hanna Booth,Female,28/06/1961,06/04/2019,,,Higher Certificate,Systems Analyst,5
30,Esme Lloyd,Female,01/03/1969,23/06/2019,20/12/2019,End of Internishp Contract,Higher Certificate,Internship,5
31,Clara White,Female,12/07/1990,15/11/2019,,,Bachelor's Incompleted,Systems Analyst,5
32,Nancy Hudson,Female,29/03/1996,20/11/2019,,,Bachelor's Completed,Technical Support Analyst,7
33,Kara Chapman,Female,27/08/1991,05/12/2019,,,Bachelor's Completed,Systems Analyst,5
34,Betsy Booth,Female,04/04/1992,15/12/2019,,,Bachelor's Completed,Technical Support Analyst,7
35,James Barker,Male,09/04/1990,10/02/2011,,,Bachelor's Completed,Pogrammer Analyst,5
36,Jude Dixon,Male,05/09/1980,09/05/2011,01/09/2015,Dismissal,Major's,Administrative Assistant,1
37,Matteo Hawkins,Male,13/06/1993,15/06/2012,19/02/2016,Resignation,Major's,Developer,5
